date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_15_35    352,-1022,519,370,486,668,506,1,144,68,2,3,3,785,555,1,270,490,1.0,0,0
2014_11_11_15_15_35    326,-952,556,370,484,662,505,2,139,68,1,2,2,785,558,1,279,488,1.0,0,0
2014_11_11_15_15_35    326,-952,556,370,484,662,505,2,139,68,1,2,2,785,558,1,279,488,1.0,0,0
2014_11_11_15_15_35    359,-994,571,371,498,672,515,1,156,102,2,1,2,786,532,1,308,500,1.0,0,0
2014_11_11_15_15_35    359,-994,571,371,498,672,515,1,156,102,2,1,2,786,532,1,308,500,1.0,0,0
2014_11_11_15_15_35    339,-992,551,374,502,671,500,1,157,108,2,1,4,801,550,2,353,540,1.0,0,0
2014_11_11_15_15_35    339,-992,551,374,502,671,500,1,157,108,2,1,4,801,550,2,353,540,1.0,0,0
2014_11_11_15_15_35    364,-992,511,382,503,669,480,1,159,114,2,2,1,802,510,2,441,537,1.0,0,0
2014_11_11_15_15_35    364,-992,511,382,503,669,480,1,159,114,2,2,1,802,510,2,441,537,1.0,0,0
2014_11_11_15_15_35    344,-1061,519,382,504,671,475,1,161,105,2,2,2,801,512,2,436,531,1.0,0,0
2014_11_11_15_15_35    348,-977,540,383,504,670,477,2,163,104,2,1,2,802,509,2,445,537,1.0,0,0
2014_11_11_15_15_35    347,-996,519,384,503,670,506,3,161,107,2,6,2,800,586,1,436,540,1.0,0,0
2014_11_11_15_15_36    345,-988,519,384,503,670,506,2,162,118,1,2,2,787,587,2,437,544,1.0,0,0
2014_11_11_15_15_36    350,-1005,536,383,504,671,506,2,168,118,2,1,3,798,591,1,453,543,1.0,0,0
2014_11_11_15_15_36    355,-1020,540,384,506,671,506,2,169,120,1,2,2,800,589,2,451,541,1.0,0,0
2014_11_11_15_15_36    339,-977,543,383,508,670,503,2,170,118,2,2,3,800,587,2,453,520,1.0,0,0
2014_11_11_15_15_36    339,-995,547,384,511,669,499,0,160,127,2,2,2,801,571,2,467,551,1.0,0,0
2014_11_11_15_15_36    339,-988,542,382,509,662,498,1,160,137,1,3,3,800,573,2,464,546,1.0,0,0
2014_11_11_15_15_36    355,-1042,551,383,509,670,493,1,177,141,4,0,2,801,574,1,459,554,1.0,0,0
2014_11_11_15_15_36    358,-1033,519,378,507,686,496,2,181,133,31,4,2,801,550,3,474,552,1.0,0,0
2014_11_11_15_15_36    345,-1000,556,373,508,692,496,2,185,137,24,2,2,805,545,3,472,552,1.0,1,1
2014_11_11_15_15_36    348,-1024,535,370,509,694,495,1,192,128,20,1,1,804,540,1,469,543,1.0,1,1
2014_11_11_15_15_36    352,-969,537,369,509,693,505,3,199,129,20,2,2,803,541,0,475,523,1.0,1,1
2014_11_11_15_15_36    360,-1000,557,378,508,694,499,2,200,128,23,1,1,802,529,1,463,522,1.0,1,1
2014_11_11_15_15_36    374,-994,558,401,509,671,496,5,174,120,25,2,2,801,543,3,475,519,1.0,1,1
2014_11_11_15_15_36    360,-961,556,413,508,663,494,1,153,117,16,2,0,803,544,2,468,506,1.0,0,0
2014_11_11_15_15_36    360,-961,556,413,508,663,494,1,153,117,16,2,0,803,544,2,468,506,1.0,0,0
2014_11_11_15_15_36    371,-1032,551,377,500,663,505,1,147,114,25,2,2,802,542,2,484,505,1.0,0,0
2014_11_11_15_15_36    384,-957,529,376,482,662,505,3,139,111,26,2,2,788,514,2,472,509,1.0,0,0
2014_11_11_15_15_36    367,-986,520,370,469,660,507,2,114,112,26,2,2,787,538,2,476,516,1.0,0,0
2014_11_11_15_15_36    379,-953,541,369,479,658,507,3,106,110,1,3,2,788,525,1,478,517,1.0,0,0
2014_11_11_15_15_36    366,-1010,532,367,472,659,507,2,110,106,2,1,1,789,542,1,456,516,1.0,0,0
2014_11_11_15_15_37    364,-986,551,366,474,658,508,1,116,106,2,2,2,788,563,3,479,516,1.0,0,0
2014_11_11_15_15_37    367,-972,559,365,460,656,510,1,122,111,2,1,2,791,530,2,468,521,1.0,0,0
2014_11_11_15_15_37    399,-1025,579,353,449,653,511,2,111,107,1,2,2,788,538,1,455,521,1.0,0,0
2014_11_11_15_15_37    376,-967,555,354,449,652,510,2,120,99,1,1,2,785,542,0,469,521,1.0,0,0
2014_11_11_15_15_37    376,-967,555,354,449,652,510,2,120,99,1,1,2,785,542,0,469,521,1.0,0,0
2014_11_11_15_15_37    360,-959,540,354,447,649,496,2,127,95,2,2,2,785,539,1,481,523,1.0,1,1
2014_11_11_15_15_37    376,-976,519,353,438,651,499,2,133,106,2,2,1,784,554,2,478,518,1.0,1,1
2014_11_11_15_15_37    376,-1048,560,352,452,653,501,3,130,111,2,2,0,784,560,2,476,518,1.0,1,1
