date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_16_37    363,-933,487,461,560,713,520,2,339,213,1,2,49,773,537,2,588,830,1.0,1,1
2014_11_11_15_16_37    398,-1047,505,461,558,714,519,1,335,170,2,1,54,778,535,3,584,830,1.0,1,1
2014_11_11_15_16_37    368,-985,507,459,583,714,519,2,332,168,3,1,44,778,532,1,580,828,1.0,1,1
2014_11_11_15_16_37    384,-961,471,458,590,712,519,0,331,158,2,2,43,779,535,1,579,826,1.0,1,1
2014_11_11_15_16_37    407,-1025,483,456,579,714,521,2,340,161,2,1,49,779,527,2,584,827,1.0,1,1
2014_11_11_15_16_37    415,-1025,472,460,583,714,522,0,335,194,2,2,50,779,559,2,582,831,1.0,1,1
2014_11_11_15_16_37    396,-970,467,464,581,715,607,1,345,206,1,2,45,780,567,2,584,833,1.0,1,1
2014_11_11_15_16_37    409,-1012,488,456,594,714,611,1,343,226,1,0,48,777,569,2,582,834,1.0,1,1
2014_11_11_15_16_37    400,-1010,492,464,587,713,611,2,343,224,3,3,44,777,568,2,587,832,1.0,1,1
2014_11_11_15_16_37    408,-1060,498,462,590,714,609,2,342,221,1,2,48,778,570,3,583,832,1.0,1,1
2014_11_11_15_16_38    391,-1000,486,460,585,714,531,2,344,227,2,2,49,778,572,2,582,832,1.0,1,1
2014_11_11_15_16_38    391,-1018,480,459,583,715,531,2,345,229,2,2,50,776,574,0,580,828,1.0,1,1
2014_11_11_15_16_38    387,-1041,483,464,585,714,528,2,340,222,2,2,45,776,571,2,579,828,1.0,1,1
2014_11_11_15_16_38    400,-1016,496,458,578,714,528,2,340,212,2,1,44,778,572,1,582,826,1.0,1,1
2014_11_11_15_16_38    383,-1000,480,463,557,714,527,2,344,214,1,2,43,774,570,3,578,825,1.0,1,1
2014_11_11_15_16_38    398,-999,483,466,554,710,527,1,336,270,3,1,40,772,569,2,576,824,1.0,1,1
2014_11_11_15_16_38    407,-1045,499,462,545,714,527,2,336,268,2,1,40,773,570,2,578,826,1.0,1,1
2014_11_11_15_16_38    399,-973,478,461,559,715,525,2,343,269,1,2,39,770,571,2,577,824,1.0,1,1
2014_11_11_15_16_38    426,-1032,497,459,552,711,527,2,342,264,1,1,41,774,572,2,577,824,1.0,1,1
2014_11_11_15_16_38    407,-1042,494,456,551,715,527,1,343,221,1,1,41,774,575,3,577,824,1.0,1,1
2014_11_11_15_16_38    393,-1029,457,456,543,715,527,2,343,219,2,2,40,772,568,1,576,824,1.0,1,1
2014_11_11_15_16_38    385,-1012,492,461,554,713,529,1,348,209,1,1,41,772,567,2,576,823,1.0,1,1
2014_11_11_15_16_38    371,-991,494,457,547,713,530,2,342,208,1,0,39,775,570,1,575,824,1.0,1,1
2014_11_11_15_16_38    382,-1007,476,461,557,715,533,2,349,214,1,2,43,775,578,2,576,822,1.0,1,1
2014_11_11_15_16_38    372,-992,469,457,552,714,533,2,343,190,2,1,39,776,574,2,574,822,1.0,1,1
2014_11_11_15_16_38    401,-1025,483,459,547,714,535,2,346,204,1,1,41,775,575,2,571,821,1.0,1,1
2014_11_11_15_16_38    412,-1009,480,459,542,714,537,2,345,196,2,2,40,774,574,1,578,821,1.0,1,1
2014_11_11_15_16_38    399,-1037,492,462,538,715,539,2,346,242,1,3,44,775,576,3,577,824,1.0,1,1
2014_11_11_15_16_38    399,-1020,480,468,556,714,542,2,348,250,2,1,47,777,577,3,580,826,1.0,1,1
2014_11_11_15_16_38    403,-993,504,467,558,717,548,2,348,215,2,1,45,775,579,1,581,827,1.0,1,1
