date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_18_42    370,-958,551,356,415,650,692,2,385,147,2,0,2,717,456,481,828,802,1.0,1,1
2014_11_11_15_18_42    384,-978,558,354,418,653,696,2,385,181,2,2,2,715,459,480,829,800,1.0,1,1
2014_11_11_15_18_42    399,-976,590,357,448,670,696,1,390,187,2,1,1,718,474,479,830,801,1.0,1,1
2014_11_11_15_18_42    377,-960,566,355,449,669,695,1,388,151,1,2,2,719,472,479,829,802,1.0,1,1
2014_11_11_15_18_42    396,-966,588,356,513,671,695,2,388,169,1,3,2,719,475,477,837,801,1.0,1,1
2014_11_11_15_18_42    395,-978,556,357,518,670,698,1,386,166,2,2,2,719,485,475,836,801,1.0,1,1
2014_11_11_15_18_42    391,-970,547,359,471,668,699,2,398,179,1,2,1,720,486,474,839,802,1.0,1,1
2014_11_11_15_18_42    383,-992,567,360,472,670,702,2,424,176,0,2,2,720,513,473,845,803,1.0,1,1
2014_11_11_15_18_42    396,-977,571,359,473,672,705,1,430,181,1,2,1,722,496,472,847,804,1.0,1,1
2014_11_11_15_18_42    376,-960,583,359,475,670,706,2,434,189,1,1,2,724,494,471,838,804,1.0,1,1
2014_11_11_15_18_42    374,-965,575,370,475,671,705,2,431,186,2,1,2,720,504,469,839,804,1.0,1,1
2014_11_11_15_18_42    390,-989,563,371,471,672,706,1,435,190,2,1,3,724,505,467,838,803,1.0,1,1
2014_11_11_15_18_42    390,-989,563,371,471,672,706,1,435,190,2,1,3,724,505,467,838,803,1.0,1,1
2014_11_11_15_18_42    408,-991,601,371,504,671,711,2,433,189,2,1,1,723,506,465,825,804,1.0,1,1
2014_11_11_15_18_42    383,-948,560,371,510,670,711,2,432,187,3,1,2,720,509,464,839,805,1.0,1,1
2014_11_11_15_18_42    376,-964,556,371,505,672,710,2,432,194,1,2,2,724,519,463,843,804,1.0,1,1
2014_11_11_15_18_42    401,-969,585,372,499,674,708,1,432,185,2,1,2,739,521,463,840,804,1.0,1,1
2014_11_11_15_18_43    377,-954,569,371,498,664,711,1,432,185,2,1,3,738,515,463,841,804,1.0,1,1
2014_11_11_15_18_43    364,-946,560,371,452,678,709,1,430,202,2,2,2,739,521,461,819,806,1.0,1,1
2014_11_11_15_18_43    400,-946,600,373,458,673,710,3,432,281,2,1,2,738,528,459,832,807,1.0,1,1
2014_11_11_15_18_43    400,-946,600,373,458,673,710,3,432,281,2,1,2,738,528,459,832,807,1.0,1,1
2014_11_11_15_18_43    367,-961,568,373,500,674,711,1,429,211,2,2,2,727,535,458,833,808,1.0,1,1
2014_11_11_15_18_43    408,-993,582,373,500,674,710,2,427,209,1,3,1,713,531,456,834,806,1.0,1,1
2014_11_11_15_18_43    391,-985,535,373,497,672,710,2,431,252,1,3,2,708,529,457,832,807,1.0,1,1
2014_11_11_15_18_43    401,-1050,504,372,494,671,709,2,433,237,1,3,1,708,504,457,828,805,1.0,1,1
2014_11_11_15_18_43    343,-1073,604,359,436,660,692,1,433,202,2,2,0,707,504,456,821,802,1.0,1,1
2014_11_11_15_18_43    319,-915,622,359,499,669,705,3,434,213,2,1,6,705,513,457,832,802,1.0,1,1
2014_11_11_15_18_43    348,-1017,627,371,413,687,714,2,438,250,2,2,2,708,543,455,818,802,1.0,1,1
2014_11_11_15_18_43    359,-967,544,370,444,679,715,2,424,250,3,1,2,711,523,454,818,801,1.0,1,1
2014_11_11_15_18_43    366,-1042,496,357,466,678,717,2,425,238,2,2,2,721,517,455,813,801,1.0,1,1
2014_11_11_15_18_43    323,-984,539,357,464,665,715,0,411,242,2,2,2,727,489,455,804,800,1.0,1,1
2014_11_11_15_18_43    355,-1091,543,355,460,658,711,2,401,191,2,2,0,728,495,458,791,799,1.0,1,1
2014_11_11_15_18_43    329,-953,588,351,425,654,708,1,387,164,1,3,1,732,443,456,792,799,1.0,1,1
2014_11_11_15_18_43    335,-945,537,349,408,647,706,1,384,171,2,1,1,731,445,457,794,795,1.0,1,1
2014_11_11_15_18_43    363,-959,558,348,415,646,707,1,389,164,2,2,2,730,480,457,795,799,1.0,1,1
2014_11_11_15_18_43    359,-985,567,352,456,649,708,2,396,167,3,2,3,732,515,454,807,800,1.0,1,1
2014_11_11_15_18_43    352,-978,560,355,422,651,709,2,381,157,2,1,3,731,508,455,809,801,1.0,1,1
2014_11_11_15_18_44    360,-968,551,351,435,649,709,1,396,183,1,2,2,730,499,454,812,801,1.0,1,1
2014_11_11_15_18_44    361,-985,543,351,425,651,709,2,394,178,2,2,2,730,502,454,814,800,1.0,1,1
2014_11_11_15_18_44    367,-989,576,349,435,650,710,2,337,177,0,1,5,730,505,452,816,800,1.0,1,1
2014_11_11_15_18_44    347,-929,548,349,430,647,711,2,334,176,2,1,2,731,488,452,817,802,1.0,1,1
2014_11_11_15_18_44    358,-959,556,347,456,647,712,2,316,188,4,2,2,729,496,451,820,799,1.0,1,1
2014_11_11_15_18_44    376,-1060,579,348,456,647,711,2,323,193,1,3,1,729,487,449,817,799,1.0,1,1
2014_11_11_15_18_44    348,-992,543,350,455,654,710,2,317,179,1,2,1,730,490,449,809,803,1.0,1,1
2014_11_11_15_18_44    360,-1017,551,352,437,658,709,1,316,161,2,2,2,729,494,446,827,804,1.0,1,1
2014_11_11_15_18_44    366,-980,536,351,436,661,708,2,315,157,2,0,2,730,506,448,828,805,1.0,1,1
2014_11_11_15_18_44    383,-990,545,351,439,660,710,2,315,193,2,1,1,730,501,446,828,806,1.0,1,1
2014_11_11_15_18_44    374,-973,579,349,444,662,710,1,315,196,2,2,1,729,508,445,831,806,1.0,1,1
2014_11_11_15_18_44    368,-1001,536,350,446,660,709,2,314,160,1,2,2,730,491,444,831,806,1.0,1,1
2014_11_11_15_18_44    391,-1009,575,352,449,660,709,2,314,160,1,1,0,729,497,443,832,806,1.0,1,1
2014_11_11_15_18_44    391,-961,572,350,444,656,709,1,315,192,2,0,1,727,493,442,832,806,1.0,1,1
2014_11_11_15_18_44    358,-956,560,347,447,659,710,2,322,166,3,1,0,729,507,442,832,807,1.0,1,1
2014_11_11_15_18_44    387,-974,566,346,447,659,709,1,324,164,2,1,2,728,510,440,832,808,1.0,1,1
2014_11_11_15_18_44    390,-1009,539,337,445,658,710,2,339,192,2,2,2,728,513,439,831,807,1.0,1,1
2014_11_11_15_18_44    363,-961,532,343,444,659,711,2,345,192,2,2,1,728,520,438,832,807,1.0,1,1
2014_11_11_15_18_44    380,-996,558,340,446,664,712,2,343,194,1,2,4,727,504,438,832,808,1.0,1,1
2014_11_11_15_18_44    377,-973,556,345,445,661,712,2,343,188,2,1,3,726,522,437,831,809,1.0,1,1
2014_11_11_15_18_45    364,-975,572,345,448,664,711,3,342,196,0,2,2,726,520,434,832,807,1.0,1,1
2014_11_11_15_18_45    369,-972,552,344,442,662,710,3,339,192,2,0,2,726,518,436,832,807,1.0,1,1
2014_11_11_15_18_45    369,-1000,539,344,443,663,711,2,339,196,2,1,2,727,515,435,833,808,1.0,1,1
2014_11_11_15_18_45    368,-954,545,344,440,663,711,2,347,198,2,2,1,727,519,435,831,808,1.0,1,1
2014_11_11_15_18_45    384,-991,563,343,440,662,705,0,354,192,2,1,2,726,516,436,831,808,1.0,1,1
