date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_19_53    353,-961,569,363,318,664,606,1,216,203,3,2,1,684,425,440,791,777,1.0,0,0
2014_11_11_15_19_53    353,-961,569,363,318,664,606,1,216,203,3,2,1,684,425,440,791,777,1.0,0,0
2014_11_11_15_19_53    326,-962,590,366,398,669,611,2,240,144,2,2,2,694,425,441,788,776,1.0,0,0
2014_11_11_15_19_53    359,-948,558,365,415,672,622,1,206,143,2,2,2,712,468,442,788,777,1.0,0,0
2014_11_11_15_19_53    379,-1028,601,365,416,673,618,2,197,147,2,2,2,717,543,441,788,776,1.0,0,0
2014_11_11_15_19_53    348,-949,568,366,407,669,613,2,191,135,2,2,2,702,519,440,789,776,1.0,0,0
2014_11_11_15_19_53    380,-1001,568,363,407,670,615,1,172,134,2,2,2,708,511,440,785,777,1.0,0,0
2014_11_11_15_19_53    382,-997,579,365,409,671,612,2,194,191,1,2,1,707,510,442,782,773,1.0,0,0
2014_11_11_15_19_53    359,-993,580,365,414,671,615,2,222,191,2,2,1,707,512,442,782,775,1.0,0,0
2014_11_11_15_19_53    345,-960,572,364,423,670,608,2,144,124,2,1,2,702,505,440,780,775,1.0,0,0
2014_11_11_15_19_53    368,-928,576,365,422,671,614,2,223,186,2,1,3,706,515,441,780,775,1.0,0,0
2014_11_11_15_19_53    364,-943,592,365,423,671,616,2,210,210,2,1,1,705,524,442,781,775,1.0,0,0
2014_11_11_15_19_53    384,-1052,577,366,421,672,615,2,218,222,1,2,2,705,519,442,782,775,1.0,0,0
2014_11_11_15_19_53    364,-913,563,365,424,673,612,2,224,221,1,2,1,708,502,443,780,774,1.0,0,0
2014_11_11_15_19_53    387,-1012,584,365,427,671,618,2,167,219,2,1,2,709,506,444,781,774,1.0,0,0
2014_11_11_15_19_53    387,-1000,578,365,429,672,624,0,176,219,2,1,2,704,506,445,781,773,1.0,0,0
2014_11_11_15_19_53    368,-970,572,366,423,674,617,1,165,137,1,1,2,702,504,446,782,774,1.0,0,0
2014_11_11_15_19_53    364,-927,575,366,426,673,616,3,165,214,2,0,2,705,538,447,786,774,1.0,0,0
2014_11_11_15_19_54    371,-996,579,377,430,674,606,2,232,196,1,0,2,704,530,447,789,774,1.0,0,0
2014_11_11_15_19_54    364,-975,575,369,435,675,608,3,280,195,2,1,2,714,534,446,789,775,1.0,0,0
2014_11_11_15_19_54    367,-951,569,370,411,674,601,2,214,195,2,2,1,726,536,447,788,772,1.0,0,0
2014_11_11_15_19_54    364,-980,560,365,395,672,603,2,208,195,2,2,1,728,538,445,788,775,1.0,0,0
2014_11_11_15_19_54    380,-1010,575,367,392,673,603,2,229,134,1,2,2,726,543,446,791,776,1.0,0,0
2014_11_11_15_19_54    380,-961,575,368,340,672,605,2,204,132,1,1,1,722,546,446,790,773,1.0,0,0
2014_11_11_15_19_54    380,-964,545,359,349,673,602,2,202,151,2,0,1,714,552,444,798,773,1.0,0,0
2014_11_11_15_19_54    367,-953,588,360,357,668,602,3,260,132,2,2,5,716,556,448,796,774,1.0,0,0
2014_11_11_15_19_54    365,-996,588,365,271,662,602,2,204,143,2,2,2,713,557,447,803,774,1.0,0,0
2014_11_11_15_19_54    383,-944,561,359,273,663,602,2,235,163,2,2,2,707,555,448,794,773,1.0,0,0
2014_11_11_15_19_54    366,-976,569,364,287,664,603,1,230,164,1,3,0,685,557,447,794,773,1.0,0,0
2014_11_11_15_19_54    369,-1009,584,365,267,663,596,1,251,162,3,2,2,709,556,447,794,773,1.0,0,0
2014_11_11_15_19_54    356,-932,603,367,351,664,603,2,271,170,2,2,2,706,556,449,801,773,1.0,0,0
2014_11_11_15_19_54    377,-993,598,366,349,662,604,2,218,174,2,1,2,704,553,449,810,773,1.0,0,0
2014_11_11_15_19_54    368,-977,575,363,354,663,597,2,260,165,1,2,1,684,555,448,813,773,2.0,0,0
2014_11_11_15_19_54    382,-973,583,362,334,664,594,2,223,165,3,2,2,681,554,449,813,773,2.0,0,0
2014_11_11_15_19_54    371,-965,582,364,330,663,597,1,244,137,4,0,3,680,556,449,814,774,2.0,0,0
2014_11_11_15_19_54    367,-963,572,360,352,665,567,4,299,131,1,1,3,682,557,449,817,774,2.0,0,0
2014_11_11_15_19_54    368,-951,590,367,360,666,592,2,260,137,2,1,2,686,553,448,814,774,2.0,0,0
2014_11_11_15_19_54    375,-976,575,365,355,666,590,2,200,125,1,2,1,701,554,450,813,774,2.0,0,0
2014_11_11_15_19_55    379,-957,590,354,360,667,589,3,225,146,3,3,1,704,559,447,815,773,2.0,0,0
2014_11_11_15_19_55    368,-945,565,354,326,665,589,1,181,149,1,2,2,696,559,447,815,774,2.0,0,0
2014_11_11_15_19_55    371,-968,542,356,280,666,583,2,183,142,2,0,2,693,562,448,815,773,2.0,0,0
2014_11_11_15_19_55    384,-1009,590,354,278,666,586,2,207,124,2,2,2,692,559,448,814,775,2.0,0,0
2014_11_11_15_19_55    352,-961,590,359,326,666,588,2,216,127,1,2,1,692,567,448,816,773,2.0,0,0
2014_11_11_15_19_55    359,-961,587,357,258,666,588,1,243,122,0,3,2,694,567,448,815,773,2.0,0,0
2014_11_11_15_19_55    355,-970,575,353,261,665,589,2,199,138,2,1,0,695,564,446,816,774,2.0,0,0
2014_11_11_15_19_55    348,-937,575,282,265,664,584,1,236,128,2,2,0,692,553,445,815,772,2.0,0,0
2014_11_11_15_19_55    353,-991,600,352,288,665,597,1,192,123,1,2,1,694,550,447,816,774,2.0,0,0
2014_11_11_15_19_55    387,-924,544,341,360,670,612,2,254,145,1,2,2,680,541,450,818,778,2.0,0,0
2014_11_11_15_19_55    438,-1108,542,373,351,678,626,2,407,153,1,2,3,689,535,458,807,776,2.0,0,0
2014_11_11_15_19_55    383,-1008,535,387,473,679,619,2,450,181,3,2,2,699,529,464,819,776,2.0,0,0
2014_11_11_15_19_55    388,-960,520,395,458,671,629,1,454,151,2,2,2,706,515,465,800,778,2.0,0,0
2014_11_11_15_19_55    344,-985,520,381,443,673,595,2,413,169,1,2,2,709,513,454,790,776,2.0,0,0
2014_11_11_15_19_55    326,-900,536,383,361,676,573,2,321,154,2,1,2,704,510,446,779,771,2.0,0,0
2014_11_11_15_19_55    325,-977,611,383,301,675,543,1,244,192,2,2,2,705,507,447,776,772,2.0,0,0
2014_11_11_15_19_55    327,-1037,568,378,331,677,560,0,296,190,2,1,3,712,498,447,775,771,2.0,0,0
2014_11_11_15_19_55    327,-980,535,395,390,678,601,2,368,206,4,2,1,719,484,450,773,772,2.0,0,0
2014_11_11_15_19_55    358,-1002,566,400,397,678,597,1,387,206,1,2,2,721,487,449,772,772,2.0,0,0
2014_11_11_15_19_55    376,-960,559,400,386,677,597,2,303,171,2,1,3,718,510,448,770,774,2.0,0,0
2014_11_11_15_19_56    376,-960,559,400,386,677,597,2,303,171,2,1,3,718,510,448,770,774,2.0,0,0
2014_11_11_15_19_56    399,-964,555,384,367,674,584,2,248,150,1,2,1,711,463,448,769,770,2.0,0,0
2014_11_11_15_19_56    383,-1049,560,375,247,670,592,1,243,157,1,2,1,714,454,447,769,770,2.0,0,0
2014_11_11_15_19_56    390,-1017,547,370,396,663,611,1,245,151,2,1,3,715,517,447,789,770,2.0,0,0
2014_11_11_15_19_56    355,-919,542,377,378,661,594,3,50,137,2,1,2,718,493,445,789,769,2.0,0,0
2014_11_11_15_19_56    387,-889,571,230,348,653,601,0,148,134,0,0,2,721,507,449,791,771,2.0,0,0
2014_11_11_15_19_56    399,-1008,577,385,358,650,605,2,160,150,2,2,1,718,509,450,786,769,2.0,0,0
